rt,stimulus,response,type_of_trial,subject,trial_type,trial_index,time_elapsed,internal_node_id,run_id,condition,recorded_at,source_code_version,ip,user_agent,device,browser,browser_version,platform,platform_version,all_responses,accuracy,words,clue,board,pragmatics,accessibility,clue_type,question_order
18158,"<p style='font-size: 20px; padding-right: 10%; padding-left: 10%'> Welcome to the Connector experiment, and thank you for choosing to participate! <br> <br> Please read the following instructions so that you know how to play the game: <br> <br> You will be shown a board of 20 words. In addition to the board, you will see a clue. You should think of this clue as coming from a friend or teammate, who is trying to indicate two of the words on the board without directly saying either of them. So, your goal is to interpret the clue and select the two words that you think are the most likely targets for that clue. </p>",0,instructions,95311,html-button-response,0,18161,0.0-0.0-0.0,18,2,2/24/23 13:40,197583627f3f28595f5da48ed5410dcb,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.3 Safari/605.1.15",Macintosh,Safari,16.3,OS X,10_15_7,,,,,,,,,
57132,"<p style='font-size: 20px; padding-right: 10%; padding-left: 10%'> For example, consider the board below. Here, the clue is FOOD, and our player currently has FAMINE and CALORIE selected. <br> <br> <img src='example.png' style='border: 2px solid black'> <br> <br> When you are playing, simply click on words to select them. The words you click will turn green as a confirmation that they have been selected. If you accidentally click a word, or if you wish to change your choice, simply click a selected word to unselect it, and it will go back to gray. When exactly two words are selected, the Enter Responses button will illuminate. Once you are satisfied with your choices, click the Enter Responses button, and the experiment will automatically move to the next trial. <br> <br> To familiarize you with the game, there are four practice trials. As you play the game, be sure to attend to both speed and accuracy. In other words, make guesses that you think are likely to be correct, but don't linger too long on any one board. When you are ready, scroll down and click the button below to begin. <br> <br> There will be a pause between the practice trials and the experimental trials. </p>",0,instructions,95311,html-button-response,1,75295,0.0-0.0-1.0,18,2,2/24/23 13:40,197583627f3f28595f5da48ed5410dcb,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.3 Safari/605.1.15",Macintosh,Safari,16.3,OS X,10_15_7,,,,,,,,,
null,<p style='font-size: 48px;'>+</p>,null,fixation,95311,html-keyboard-response,2,76300,0.0-1.0-0.0,18,2,2/24/23 13:40,197583627f3f28595f5da48ed5410dcb,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.3 Safari/605.1.15",Macintosh,Safari,16.3,OS X,10_15_7,,,,,,,,,
18644,SPOOKY,"[""SCARY"",""SHADOWY""]",practice,95311,connector,3,94948,0.0-1.0-1.0,18,2,2/24/23 13:40,197583627f3f28595f5da48ed5410dcb,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.3 Safari/605.1.15",Macintosh,Safari,16.3,OS X,10_15_7,"[""SCARY"",""SUPERNATURAL"",""SHADOWY""]",0,scary-supernatural,spooky,"[""SCARY"",""SKI"",""FLORAL"",""SUPERNATURAL"",""PRESSURE"",""PAYBACK"",""PAINKILLER"",""SHADOWY"",""UNDERDOG"",""AIMLESS"",""VINTAGE"",""PAL"",""KNOCK"",""MINTS"",""VALID"",""SUBMISSION"",""ENSEMBLE"",""SINCERE"",""MAIZE"",""MICROSCOPE""]",0.000186499,75,high_a_high_p,
null,<p style='font-size: 48px;'>+</p>,null,fixation,95311,html-keyboard-response,4,95951,0.0-1.0-0.1,18,2,2/24/23 13:40,197583627f3f28595f5da48ed5410dcb,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.3 Safari/605.1.15",Macintosh,Safari,16.3,OS X,10_15_7,,,,,,,,,
54699,PEACOCK,"[""FEATHER"",""TOUCAN""]",practice,95311,connector,5,150653,0.0-1.0-1.1,18,2,2/24/23 13:40,197583627f3f28595f5da48ed5410dcb,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.3 Safari/605.1.15",Macintosh,Safari,16.3,OS X,10_15_7,"[""FEATHER"",""TOUCAN""]",1,feather-toucan,peacock,"[""TOUCAN"",""FORTIFY"",""NONCHALANT"",""CATS"",""WALKING"",""SURRENDER"",""CLIFF"",""ENERGETIC"",""RITUAL"",""ENGAGE"",""GIANT"",""MUFFLED"",""FOOTWEAR"",""FEATHER"",""WHO"",""MENACE"",""DONKEY"",""FLIGHTY"",""FOOLISH"",""POSTERIOR""]",0.000183463,15,high_a_high_p,
null,<p style='font-size: 48px;'>+</p>,null,fixation,95311,html-keyboard-response,6,151658,0.0-1.0-0.2,18,2,2/24/23 13:40,197583627f3f28595f5da48ed5410dcb,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.3 Safari/605.1.15",Macintosh,Safari,16.3,OS X,10_15_7,,,,,,,,,
14952,SWIMMER,"[""BOATING"",""LIFEGUARD""]",practice,95311,connector,7,166612,0.0-1.0-1.2,18,2,2/24/23 13:40,197583627f3f28595f5da48ed5410dcb,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.3 Safari/605.1.15",Macintosh,Safari,16.3,OS X,10_15_7,"[""BOATING"",""LIFEGUARD""]",1,lifeguard-boating,swimmer,"[""ADMISSION"",""RETIREMENT"",""THRIFTY"",""FOREVER"",""REJOICE"",""RECEIVER"",""DIAGONAL"",""TAPS"",""GUMMY"",""BOATING"",""GREED"",""ORANGES"",""STONE"",""STRIP"",""TAKEOVER"",""DECOMPOSITION"",""PERIMETER"",""LIFEGUARD"",""LIGHTENING"",""MISFORTUNE""]",0.000168199,18,high_a_high_p,
null,<p style='font-size: 48px;'>+</p>,null,fixation,95311,html-keyboard-response,8,167615,0.0-1.0-0.3,18,2,2/24/23 13:40,197583627f3f28595f5da48ed5410dcb,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.3 Safari/605.1.15",Macintosh,Safari,16.3,OS X,10_15_7,,,,,,,,,
19711,ROMANCE,"[""BOYFRIEND"",""DATING""]",practice,95311,connector,9,187330,0.0-1.0-1.3,18,2,2/24/23 13:40,197583627f3f28595f5da48ed5410dcb,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.3 Safari/605.1.15",Macintosh,Safari,16.3,OS X,10_15_7,"[""BOYFRIEND"",""DATING""]",1,dating-boyfriend,romance,"[""BUST"",""BOYFRIEND"",""PUDDLE"",""LAP"",""SCALES"",""WIMP"",""PILE"",""BOTHER"",""BICEPS"",""MULTICULTURAL"",""DATING"",""INTRUSIVE"",""ATTRACT"",""GEL"",""CREVASSE"",""LEGEND"",""EVANGELICAL"",""VISUALIZE"",""WINDOW"",""HAIL""]",0.000165017,34,high_a_high_p,
