wordpair,distractor,high_a_high_p_clue,high_a_high_p_visitcount,high_a_high_p_prag_score,high_a_low_p_clue,high_a_low_p_visitcount,high_a_low_p_prag_score,low_a_high_p_clue,low_a_high_p_visitcount,low_a_high_p_prag_score,low_a_low_p_clue,low_a_low_p_visitcount,low_a_low_p_prag_score
flavorful-ingredients,microwave,food,442,0.000174915,good,131,8.79E-05,palatable,2,0.00017849,fruity,7,9.67E-05
carrots-nectarine,sour,orange,521,0.000178543,green,141,9.19E-05,papaya,1,0.000172939,pod,2,9.16E-05
teenager-youthful,tot,adolescent,44,0.000191463,happy,103,8.66E-05,adolescence,4,0.000190846,jumping,2,8.96E-05
starve-consumption,recipe,hunger,156,0.000191126,drink,98,8.78E-05,appetite,2,0.000193513,bite,5,9.63E-05
water-baptize,thirst,immerse,11,0.00017001,religion,144,9.18E-05,fountain,1,0.000172177,catholicism,3,9.38E-05
upstream-flowing,boil,creek,29,0.000167719,hair,115,8.68E-05,diving,1,0.000158944,scarce,4,9.10E-05
comprehension-understood,scholar,knowledge,186,0.000143715,brain,47,8.82E-05,realize,7,0.000154167,results,2,8.84E-05
ever-endless,steady,eternity,99,0.000189411,more,71,8.47E-05,perpetual,9,0.000185175,rarely,2,9.02E-05
speedometer-jeep,mustang,automobile,46,0.000191008,army,98,8.68E-05,dashboard,8,0.000187651,ranger,2,9.49E-05
sentient-awareness,conscientious,conscious,67,0.000164322,bright,45,8.77E-05,realization,6,0.000131812,tactile,1,8.85E-05
buyer-earner,wallet,transaction,13,0.00017361,work,153,9.34E-05,commerce,3,0.000177755,hundred,1,9.72E-05
grant-donation,paycheck,contribution,14,0.000174886,present,82,9.48E-05,lend,3,0.000176651,acquire,2,9.58E-05
raccoon-creature,cub,animal,314,0.000178324,garbage,56,8.42E-05,possum,7,0.000171828,reptile,7,8.92E-05
courteous-nice,gratitude,considerate,16,0.00019026,easy,71,8.64E-05,gracious,11,0.000190597,swell,2,9.26E-05
apartment-domestic,downstairs,residence,17,0.000194068,family,74,8.95E-05,abode,12,0.000193392,inside,7,9.10E-05
lasso-mare,oxen,saddle,42,0.000181254,woman,58,8.29E-05,bronco,1,0.000184957,tails,1,8.95E-05
vent-oxygen,planes,breathe,255,0.000166621,sky,58,8.74E-05,asthma,2,0.00015019,annoyance,2,8.81E-05
saturate-drops,swimming,soaked,30,0.000189823,full,110,8.96E-05,moisture,8,0.000183918,spring,9,9.20E-05
foul-repugnant,bad,putrid,16,0.000177125,play,105,8.47E-05,rancid,4,0.000161767,uncouth,1,9.04E-05
variance-edit,variety,change,329,0.00018001,paper,78,8.75E-05,transform,1,0.000178304,inconsistent,1,9.00E-05
pariah-ostracize,leave,outcast,237,0.000167869,social,51,8.60E-05,isolation,6,0.000141597,gloomy,2,8.83E-05
stickleback-piranha,pond,trout,20,0.000191187,pain,63,8.42E-05,barracuda,7,0.000196759,toothbrush,3,9.08E-05
wings-sparrow,birdie,eagle,28,0.000194169,blue,102,8.79E-05,falcon,2,0.000190936,housefly,1,9.19E-05
shouting-opinionated,gaudy,outspoken,43,0.000176526,music,81,8.40E-05,rowdy,8,0.000161419,powerful,4,8.94E-05
hum-clef,loudspeaker,melody,69,0.000187379,white,48,7.93E-05,melodious,1,0.000185514,aloud,2,9.50E-05
spent-checkbook,riches,savings,11,0.000186232,tired,207,9.03E-05,finances,6,0.00018627,corrupt,2,9.81E-05
politics-government,diplomatic,parliament,42,0.000186888,people,67,8.90E-05,senator,6,0.00019163,justice,2,9.01E-05
weary-tiring,snooze,exhausting,123,0.000197671,time,55,8.20E-05,lethargy,5,0.000172654,marathon,4,9.10E-05
paid-gratuity,asset,payment,29,0.000186137,thanks,79,9.02E-05,stipend,6,0.00018686,percent,1,9.67E-05
piety-bless,prophet,holiness,31,0.000195242,sneeze,81,8.81E-05,praying,1,0.000193008,masses,2,9.44E-05
cooker-fodder,burrito,chef,142,0.000172184,hot,94,9.07E-05,pantry,1,0.000169594,farming,1,9.42E-05
platter-inedible,ravenous,eating,17,0.000159968,silver,96,8.21E-05,buffet,8,0.000162108,ugh,3,9.31E-05
cow-dairy,field,udder,19,0.000207517,grass,104,8.91E-05,bovine,14,0.000193689,sacred,2,9.01E-05
knowing-thinker,witty,intelligence,53,0.000167179,statue,97,8.82E-05,intellect,4,0.000169376,classes,1,8.93E-05
purgatory-heaven,biblical,underworld,16,0.000163131,earth,64,8.21E-05,divine,5,0.000116767,alarm,2,8.66E-05
hose-bathing,quench,fluid,20,0.000156308,garden,150,8.72E-05,faucet,6,0.000165485,drizzle,3,9.30E-05
vines-plant,unripe,ivy,71,0.000152776,sweet,51,8.48E-05,fern,1,0.000168231,caterpillar,1,9.13E-05
punch-strike,glove,slap,43,0.000163397,union,65,8.61E-05,whack,6,0.000170133,echo,2,8.72E-05
grill-sirloin,turkey,steak,372,0.000190508,summer,44,9.02E-05,jerky,4,0.000174741,consume,8,9.09E-05
clowns-trapeze,whimsical,circus,362,0.00020237,fun,88,8.66E-05,juggler,1,0.000197166,hurdle,1,8.78E-05
semester-faculty,learner,school,367,0.000190946,ability,57,8.65E-05,campus,11,0.000191149,standards,3,9.51E-05
elated-vivacious,successful,enthusiastic,14,0.000196923,sun,65,8.49E-05,peppy,3,0.000200768,chuckle,2,9.54E-05
broadcast-television,movie,media,28,0.000159417,box,38,8.39E-05,publicity,1,0.000136866,conduct,2,8.75E-05
auction-bank,tips,cost,20,0.000169178,home,55,8.75E-05,expense,5,0.000168202,poker,4,9.53E-05
grandparent-maturity,adults,elderly,60,0.000188976,child,107,8.89E-05,elders,1,0.000190655,classics,1,9.34E-05
gallop-foal,straw,horse,597,0.000202738,deer,62,8.69E-05,steed,7,0.000202067,sprint,10,9.12E-05
parasite-insect,worms,bug,370,0.000194153,small,85,8.58E-05,centipede,10,0.000177079,twitch,1,8.92E-05
gluten-flour,moldy,bread,343,0.000187324,free,131,8.36E-05,toaster,2,0.000172181,yogurt,4,9.20E-05
overcome-surpass,losing,outdo,17,0.000170257,done,39,8.44E-05,champion,5,0.000135579,dedication,1,8.81E-05
baggy-suspenders,attire,trousers,221,0.000205977,shoes,44,8.62E-05,dungarees,1,0.000182335,lining,1,8.96E-05
byte-graphics,offline,computer,380,0.000170567,mega,89,8.66E-05,software,10,0.000169766,aesthetics,12,9.09E-05
tax-tuition,quid,fees,63,0.000176827,university,86,9.46E-05,financial,2,0.000169663,slot,1,9.52E-05
prism-aura,glisten,illumination,10,0.000169144,glass,111,8.95E-05,illuminate,6,0.000168475,shaft,1,9.02E-05
screws-chisel,axe,hammer,241,0.00018572,sharp,78,8.71E-05,pliers,1,0.00016766,crate,2,8.95E-05
citrus-tart,navel,grapefruit,36,0.000184311,chocolate,53,9.04E-05,tangerine,11,0.000175277,vanilla,3,9.22E-05
pram-diapers,carrying,newborn,19,0.000201725,girl,61,8.59E-05,fetus,1,0.000202096,adored,1,9.17E-05
addition-abacus,accounting,multiplication,77,0.000189126,hard,52,8.28E-05,calculate,11,0.000179221,negative,12,9.13E-05
peaches-mandarin,honeydew,apricot,12,0.000191292,cream,144,8.83E-05,clementine,8,0.000190835,onion,1,9.16E-05
partridge-dove,flutter,chirp,16,0.00018242,peace,198,8.97E-05,lark,1,0.000179056,dropping,1,9.11E-05
perky-smiles,pleasurable,cheerful,55,0.000193964,teeth,140,9.12E-05,cheery,2,0.000192819,haha,5,9.35E-05
feather-toucan,flighty,peacock,15,0.000183463,yellow,58,9.00E-05,parakeet,2,0.000174521,angel,7,9.05E-05
lifeguard-boating,taps,swimmer,18,0.000168199,save,63,8.10E-05,bay,5,0.000177322,shark,7,9.38E-05
scary-supernatural,shadowy,spooky,75,0.000186499,film,38,8.62E-05,spook,2,0.000168597,bizarre,7,8.98E-05
dating-boyfriend,attract,romance,34,0.000165017,young,69,8.83E-05,passionate,1,0.00016046,touch,4,9.16E-05
