,Word1,Word2,wordpair
0,church,twister,church-twister
1,church,faculty,church-faculty
2,church,continue,church-continue
3,church,queen,church-queen
4,church,nasty,church-nasty
5,church,lashes,church-lashes
6,church,rural,church-rural
7,church,inaccurate,church-inaccurate
8,church,primary,church-primary
9,church,colon,church-colon
10,church,democrat,church-democrat
11,church,gobble,church-gobble
12,church,sixth,church-sixth
13,church,vulture,church-vulture
14,church,confess,church-confess
15,church,backwards,church-backwards
16,church,wild,church-wild
17,church,lion,church-lion
18,church,tiger,church-tiger
19,twister,faculty,twister-faculty
20,twister,continue,twister-continue
21,twister,queen,twister-queen
22,twister,nasty,twister-nasty
23,twister,lashes,twister-lashes
24,twister,rural,twister-rural
25,twister,inaccurate,twister-inaccurate
26,twister,primary,twister-primary
27,twister,colon,twister-colon
28,twister,democrat,twister-democrat
29,twister,gobble,twister-gobble
30,twister,sixth,twister-sixth
31,twister,vulture,twister-vulture
32,twister,confess,twister-confess
33,twister,backwards,twister-backwards
34,twister,wild,twister-wild
35,twister,lion,twister-lion
36,twister,tiger,twister-tiger
37,faculty,continue,faculty-continue
38,faculty,queen,faculty-queen
39,faculty,nasty,faculty-nasty
40,faculty,lashes,faculty-lashes
41,faculty,rural,faculty-rural
42,faculty,inaccurate,faculty-inaccurate
43,faculty,primary,faculty-primary
44,faculty,colon,faculty-colon
45,faculty,democrat,faculty-democrat
46,faculty,gobble,faculty-gobble
47,faculty,sixth,faculty-sixth
48,faculty,vulture,faculty-vulture
49,faculty,confess,faculty-confess
50,faculty,backwards,faculty-backwards
51,faculty,wild,faculty-wild
52,faculty,lion,faculty-lion
53,faculty,tiger,faculty-tiger
54,continue,queen,continue-queen
55,continue,nasty,continue-nasty
56,continue,lashes,continue-lashes
57,continue,rural,continue-rural
58,continue,inaccurate,continue-inaccurate
59,continue,primary,continue-primary
60,continue,colon,continue-colon
61,continue,democrat,continue-democrat
62,continue,gobble,continue-gobble
63,continue,sixth,continue-sixth
64,continue,vulture,continue-vulture
65,continue,confess,continue-confess
66,continue,backwards,continue-backwards
67,continue,wild,continue-wild
68,continue,lion,continue-lion
69,continue,tiger,continue-tiger
70,queen,nasty,queen-nasty
71,queen,lashes,queen-lashes
72,queen,rural,queen-rural
73,queen,inaccurate,queen-inaccurate
74,queen,primary,queen-primary
75,queen,colon,queen-colon
76,queen,democrat,queen-democrat
77,queen,gobble,queen-gobble
78,queen,sixth,queen-sixth
79,queen,vulture,queen-vulture
80,queen,confess,queen-confess
81,queen,backwards,queen-backwards
82,queen,wild,queen-wild
83,queen,lion,queen-lion
84,queen,tiger,queen-tiger
85,nasty,lashes,nasty-lashes
86,nasty,rural,nasty-rural
87,nasty,inaccurate,nasty-inaccurate
88,nasty,primary,nasty-primary
89,nasty,colon,nasty-colon
90,nasty,democrat,nasty-democrat
91,nasty,gobble,nasty-gobble
92,nasty,sixth,nasty-sixth
93,nasty,vulture,nasty-vulture
94,nasty,confess,nasty-confess
95,nasty,backwards,nasty-backwards
96,nasty,wild,nasty-wild
