guess,clue,literal_score,pragmatic_score,wordpair
countryside-incentive,food,0.005041446537559498,0.005263157865611053,flavorful-ingredients
countryside-homeland,food,0.004988592060933598,0.0052631578475345,flavorful-ingredients
countryside-explode,food,0.004934562737062264,0.005263157859476013,flavorful-ingredients
countryside-rental,food,0.004953816024579148,0.00526315784472346,flavorful-ingredients
countryside-rag,food,0.005013348605095415,0.005263157854899797,flavorful-ingredients
countryside-went,food,0.0049459139642836015,0.0052631578537863915,flavorful-ingredients
countryside-principle,food,0.004953801186067235,0.005263157851369735,flavorful-ingredients
countryside-circumstance,food,0.0049302898343096145,0.005263157860300879,flavorful-ingredients
countryside-wildlife,food,0.0050034462739933765,0.005263157852862041,flavorful-ingredients
countryside-thing,food,0.004940306945065848,0.005263157866253004,flavorful-ingredients
countryside-gymnastics,food,0.004927318854856097,0.005263157866624217,flavorful-ingredients
countryside-mission,food,0.004953815944461583,0.005263157836167867,flavorful-ingredients
countryside-resemble,food,0.004932415248848267,0.005263157867089199,flavorful-ingredients
countryside-tickle,food,0.004966524268961893,0.005263157868712126,flavorful-ingredients
countryside-sphinx,food,0.004928582995838664,0.0052631578671425636,flavorful-ingredients
countryside-perfection,food,0.004994916904925708,0.005263157870164989,flavorful-ingredients
countryside-microwave,food,0.006266454850265063,0.005263157902518846,flavorful-ingredients
countryside-flavorful,food,0.006309229670936594,0.005263158133674316,flavorful-ingredients
countryside-ingredients,food,0.006304874948436214,0.005263157952849547,flavorful-ingredients
incentive-homeland,food,0.004958626057608427,0.005263157851317638,flavorful-ingredients
incentive-explode,food,0.004906017126190667,0.005263157861664043,flavorful-ingredients
incentive-rental,food,0.0049247656069924374,0.0052631578433242,flavorful-ingredients
incentive-rag,food,0.004982727857495485,0.0052631578571573035,flavorful-ingredients
incentive-went,food,0.004917070913958247,0.00526315785587607,flavorful-ingredients
incentive-principle,food,0.0049247511581114655,0.005263157851819147,flavorful-ingredients
incentive-circumstance,food,0.004901856052460419,0.005263157861635119,flavorful-ingredients
incentive-wildlife,food,0.0049730877101836456,0.005263157858468757,flavorful-ingredients
incentive-thing,food,0.004911610882187396,0.005263157867855687,flavorful-ingredients
incentive-gymnastics,food,0.004898962784917447,0.005263157868671024,flavorful-ingredients
incentive-mission,food,0.004924765528978608,0.00526315783662418,flavorful-ingredients
incentive-resemble,food,0.00490392585058356,0.005263157869078929,flavorful-ingredients
incentive-tickle,food,0.004937139831478612,0.005263157870840437,flavorful-ingredients
incentive-sphinx,food,0.004900193864136779,0.005263157869334769,flavorful-ingredients
incentive-perfection,food,0.004964783859295471,0.005263157871995063,flavorful-ingredients
incentive-microwave,food,0.006199740023488074,0.005263157905654769,flavorful-ingredients
incentive-flavorful,food,0.006241188405509687,0.005263158137488704,flavorful-ingredients
incentive-ingredients,food,0.006236968986302234,0.005263157955721887,flavorful-ingredients
homeland-explode,food,0.004859164029192855,0.005263157846268824,flavorful-ingredients
homeland-rental,food,0.004877089000915505,0.005263157831077293,flavorful-ingredients
homeland-rag,food,0.0049324904056115915,0.0052631578415600075,flavorful-ingredients
homeland-went,food,0.0048697325764286425,0.0052631578403111905,flavorful-ingredients
homeland-principle,food,0.004877075187599146,0.005263157837420897,flavorful-ingredients
homeland-circumstance,food,0.004855185405177372,0.005263157847006875,flavorful-ingredients
homeland-wildlife,food,0.004923277726982569,0.0052631578418634245,flavorful-ingredients
homeland-thing,food,0.004864512332781782,0.005263157852664781,flavorful-ingredients
homeland-gymnastics,food,0.004852418929168941,0.005263157853230954,flavorful-ingredients
homeland-mission,food,0.004877088926333281,0.005263157822867089,flavorful-ingredients
homeland-resemble,food,0.0048571644639205155,0.005263157853660918,flavorful-ingredients
homeland-tickle,food,0.004888918403937944,0.005263157854813505,flavorful-ingredients
homeland-sphinx,food,0.004853596065774387,0.005263157853901904,flavorful-ingredients
homeland-perfection,food,0.004915341594064826,0.005263157855892052,flavorful-ingredients
homeland-microwave,food,0.006090947538855947,0.0052631578876271255,flavorful-ingredients
homeland-flavorful,food,0.006130253406900127,0.005263158108323321,flavorful-ingredients
homeland-ingredients,food,0.0061262525086786404,0.005263157935980125,flavorful-ingredients
explode-rental,food,0.004828312435822488,0.005263157842408299,flavorful-ingredients
explode-rag,food,0.004881115086268246,0.005263157851332229,flavorful-ingredients
explode-went,food,0.004821299417251774,0.005263157850354893,flavorful-ingredients
explode-principle,food,0.0048282992676945205,0.005263157847527798,flavorful-ingredients
explode-circumstance,food,0.004807430166796209,0.005263157856305522,flavorful-ingredients
explode-wildlife,food,0.004872336084422444,0.005263157852268603,flavorful-ingredients
explode-thing,food,0.004816322622029889,0.005263157861876382,flavorful-ingredients
explode-gymnastics,food,0.004804792438640261,0.0052631578622802065,flavorful-ingredients
explode-mission,food,0.004828312364723833,0.005263157833289273,flavorful-ingredients
explode-resemble,food,0.0048093170887714394,0.005263157862739457,flavorful-ingredients
explode-tickle,food,0.004839588807264064,0.005263157864021063,flavorful-ingredients
explode-sphinx,food,0.004805914799798153,0.005263157862901088,flavorful-ingredients
explode-perfection,food,0.004864773047973929,0.005263157865709224,flavorful-ingredients
explode-microwave,food,0.005980543809618776,0.005263157896283225,flavorful-ingredients
explode-flavorful,food,0.0060177018445266555,0.005263158113361768,flavorful-ingredients
explode-ingredients,food,0.006013919976484732,0.005263157943932781,flavorful-ingredients
rental-rag,food,0.004899425094295786,0.0052631578364833054,flavorful-ingredients
rental-went,food,0.0048385634869524624,0.005263157835797639,flavorful-ingredients
rental-principle,food,0.004845685202280313,0.005263157833387759,flavorful-ingredients
rental-circumstance,food,0.004824453198521692,0.0052631578429475695,flavorful-ingredients
rental-wildlife,food,0.004890491936538821,0.005263157838409389,flavorful-ingredients
rental-thing,food,0.004833500134094987,0.005263157848525609,flavorful-ingredients
rental-gymnastics,food,0.004821769691864185,0.005263157849180367,flavorful-ingredients
rental-mission,food,0.004845698527457521,0.005263157818974713,flavorful-ingredients
rental-resemble,food,0.004826372880989209,0.005263157849846654,flavorful-ingredients
rental-tickle,food,0.004857171588144093,0.005263157851031844,flavorful-ingredients
rental-sphinx,food,0.004822911529431666,0.005263157850099259,flavorful-ingredients
rental-perfection,food,0.004882796273758251,0.005263157852084281,flavorful-ingredients
rental-microwave,food,0.006019792311205823,0.00526315788363625,flavorful-ingredients
rental-flavorful,food,0.0060577108225245615,0.005263158104391809,flavorful-ingredients
rental-ingredients,food,0.006053851407062179,0.005263157931857676,flavorful-ingredients
rag-went,food,0.004891910513094477,0.005263157845818006,flavorful-ingredients
rag-principle,food,0.004899410983826045,0.005263157842951813,flavorful-ingredients
rag-circumstance,food,0.004877051153892861,0.005263157852195998,flavorful-ingredients
rag-wildlife,food,0.004946611191948191,0.005263157847764146,flavorful-ingredients
rag-thing,food,0.00488657815480349,0.0052631578579092324,flavorful-ingredients
rag-gymnastics,food,0.004874225393088781,0.005263157858302485,flavorful-ingredients
rag-mission,food,0.004899425018109142,0.0052631578283118124,flavorful-ingredients
rag-resemble,food,0.0048790726399554315,0.005263157858831532,flavorful-ingredients
rag-tickle,food,0.004911509219668273,0.005263157860008305,flavorful-ingredients
rag-sphinx,food,0.004875427752079562,0.005263157858949777,flavorful-ingredients
rag-perfection,food,0.004938503158103735,0.005263157861213888,flavorful-ingredients
rag-microwave,food,0.006141807882523977,0.005263157893584412,flavorful-ingredients
rag-flavorful,food,0.006182112185174608,0.005263158120884567,flavorful-ingredients
rag-ingredients,food,0.006178009457873731,0.005263157943115598,flavorful-ingredients
went-principle,food,0.004838550183655015,0.0052631578418125755,flavorful-ingredients
went-circumstance,food,0.004817467234528704,0.00526315785103116,flavorful-ingredients
went-wildlife,food,0.004883040676661513,0.005263157846832387,flavorful-ingredients
went-thing,food,0.004826450721109364,0.005263157856391472,flavorful-ingredients
went-gymnastics,food,0.004814802530113473,0.005263157857127407,flavorful-ingredients
went-mission,food,0.004838563415123987,0.005263157827434961,flavorful-ingredients
went-resemble,food,0.004819373461496144,0.005263157857554764,flavorful-ingredients
went-tickle,food,0.004849955717311349,0.005263157858897066,flavorful-ingredients
went-sphinx,food,0.004815936368297462,0.005263157857849787,flavorful-ingredients
went-perfection,food,0.0048753994910817645,0.005263157860202266,flavorful-ingredients
went-microwave,food,0.006003671114565964,0.005263157891751241,flavorful-ingredients
went-flavorful,food,0.006041276849770947,0.005263158110126138,flavorful-ingredients
went-ingredients,food,0.00603744932928596,0.005263157939396909,flavorful-ingredients
principle-circumstance,food,0.004824440081222409,0.005263157847537815,flavorful-ingredients
principle-wildlife,food,0.004890477945041335,0.005263157843915835,flavorful-ingredients
principle-thing,food,0.004833486897590864,0.005263157853235899,flavorful-ingredients
principle-gymnastics,food,0.004821756609889433,0.005263157854123235,flavorful-ingredients
principle-mission,food,0.004845685129944087,0.005263157822557414,flavorful-ingredients
principle-resemble,food,0.004826359738410481,0.00526315785465229,flavorful-ingredients
principle-tickle,food,0.004857158038902392,0.005263157855728656,flavorful-ingredients
principle-sphinx,food,0.004822898432428159,0.005263157855043148,flavorful-ingredients
principle-perfection,food,0.004882782384615325,0.005263157855818799,flavorful-ingredients
principle-microwave,food,0.006019762022382013,0.0052631578899433335,flavorful-ingredients
principle-flavorful,food,0.006057679945512263,0.005263158113294964,flavorful-ingredients
principle-ingredients,food,0.006053820590030393,0.005263157938491498,flavorful-ingredients
circumstance-wildlife,food,0.004868306306087743,0.005263157853063335,flavorful-ingredients
circumstance-thing,food,0.004812509619733609,0.0052631578623931466,flavorful-ingredients
circumstance-gymnastics,food,0.004801023813023891,0.005263157863106406,flavorful-ingredients
circumstance-mission,food,0.004824453127697478,0.0052631578336644795,flavorful-ingredients
circumstance-resemble,food,0.004805531059006178,0.005263157863481332,flavorful-ingredients
circumstance-tickle,food,0.0048356860032238175,0.005263157864791731,flavorful-ingredients
circumstance-sphinx,food,0.004802141858211262,0.005263157863720196,flavorful-ingredients
circumstance-perfection,food,0.004860772654362076,0.005263157866200863,flavorful-ingredients
circumstance-microwave,food,0.005971847439239437,0.005263157898094073,flavorful-ingredients
circumstance-flavorful,food,0.006008837436346648,0.005263158116167012,flavorful-ingredients
circumstance-ingredients,food,0.006005072702897786,0.005263157945570122,flavorful-ingredients
wildlife-thing,food,0.0048777532053220956,0.005263157858633721,flavorful-ingredients
wildlife-gymnastics,food,0.0048655042803995106,0.005263157859185696,flavorful-ingredients
wildlife-mission,food,0.004890491860994543,0.00526315782941393,flavorful-ingredients
wildlife-resemble,food,0.004870310805984443,0.005263157859683377,flavorful-ingredients
wildlife-tickle,food,0.0049024740768927174,0.005263157860827916,flavorful-ingredients
wildlife-sphinx,food,0.0048666965414313045,0.005263157859422397,flavorful-ingredients
wildlife-perfection,food,0.004929239493442792,0.005263157862376509,flavorful-ingredients
wildlife-microwave,food,0.006121443796923148,0.0052631578942009755,flavorful-ingredients
wildlife-flavorful,food,0.0061613476593972245,0.00526315811824122,flavorful-ingredients
wildlife-ingredients,food,0.006157285773339848,0.005263157943135494,flavorful-ingredients
thing-gymnastics,food,0.004809858245296564,0.005263157868829839,flavorful-ingredients
thing-mission,food,0.004833500062627148,0.005263157839259208,flavorful-ingredients
thing-resemble,food,0.004814406307367648,0.005263157868982902,flavorful-ingredients
thing-tickle,food,0.004844835113124349,0.005263157870652686,flavorful-ingredients
thing-sphinx,food,0.004810986412255904,0.005263157869296372,flavorful-ingredients
thing-perfection,food,0.004870150637815175,0.005263157872171393,flavorful-ingredients
thing-microwave,food,0.0059922427034930625,0.005263157904593284,flavorful-ingredients
thing-flavorful,food,0.006029627058290006,0.005263158126968887,flavorful-ingredients
thing-ingredients,food,0.006025822112372114,0.005263157952740621,flavorful-ingredients
gymnastics-mission,food,0.004821769621230698,0.005263157839938811,flavorful-ingredients
gymnastics-resemble,food,0.004802898429988631,0.005263157869562039,flavorful-ingredients
gymnastics-tickle,food,0.004832972219034932,0.0052631578709166705,flavorful-ingredients
gymnastics-sphinx,food,0.004799518325281879,0.005263157869691398,flavorful-ingredients
gymnastics-perfection,food,0.004857991049529187,0.005263157872779178,flavorful-ingredients
gymnastics-microwave,food,0.005965803810129644,0.005263157904909589,flavorful-ingredients
gymnastics-flavorful,food,0.006002677126806234,0.005263158126579418,flavorful-ingredients
gymnastics-ingredients,food,0.005998924290981952,0.005263157953164305,flavorful-ingredients
mission-resemble,food,0.004826372810028503,0.005263157840693659,flavorful-ingredients
mission-tickle,food,0.00485717151498769,0.005263157841556548,flavorful-ingredients
mission-sphinx,food,0.004822911458717035,0.005263157841043675,flavorful-ingredients
mission-perfection,food,0.004882796198766619,0.005263157840922938,flavorful-ingredients
mission-microwave,food,0.006019792147667233,0.005263157873991084,flavorful-ingredients
mission-flavorful,food,0.006057710655810157,0.005263158090614483,flavorful-ingredients
mission-ingredients,food,0.006053851240671629,0.005263157921426971,flavorful-ingredients
resemble-tickle,food,0.004837627353406127,0.005263157871283269,flavorful-ingredients
resemble-sphinx,food,0.004804018621719816,0.005263157870034313,flavorful-ingredients
resemble-perfection,food,0.0048627625400342114,0.005263157872989681,flavorful-ingredients
resemble-microwave,food,0.005976172521723996,0.005263157904975418,flavorful-ingredients
resemble-flavorful,food,0.00601324607030139,0.00526315812431369,flavorful-ingredients
resemble-ingredients,food,0.006009472817245792,0.005263157952609029,flavorful-ingredients
tickle-sphinx,food,0.004834126938104706,0.00526315787150071,flavorful-ingredients
tickle-perfection,food,0.004894690675144093,0.005263157874670944,flavorful-ingredients
tickle-microwave,food,0.006045755406292837,0.005263157907534102,flavorful-ingredients
tickle-flavorful,food,0.006084178847360029,0.005263158133580404,flavorful-ingredients
